TOTAL 115
PASSED = 109
WEAK = 5
FAILED = 1 ( rgb_lagged_sum 31 )

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        r181.out|  4.98e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.92723929|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.47760232|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.03910271|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.97846218|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.48690790|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.65672817|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.46870990|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.11756043|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.08870824|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.88566235|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.67988375|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.46479238|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.86179194|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.39895090|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.55111897|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.19877061|  PASSED  
        diehard_runs|   0|    100000|     100|0.01354085|  PASSED  
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.46358781|  PASSED  
       diehard_craps|   0|    200000|     100|0.92878889|  PASSED  
# The file file_input_raw was rewound 12 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.10497228|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00001268|   WEAK   
# The file file_input_raw was rewound 12 times
         sts_monobit|   1|    100000|     100|0.91396708|  PASSED  
# The file file_input_raw was rewound 12 times
            sts_runs|   2|    100000|     100|0.60745500|  PASSED  
# The file file_input_raw was rewound 12 times
          sts_serial|   1|    100000|     100|0.01270628|  PASSED  
          sts_serial|   2|    100000|     100|0.02760117|  PASSED  
          sts_serial|   3|    100000|     100|0.01741655|  PASSED  
          sts_serial|   3|    100000|     100|0.13635766|  PASSED  
          sts_serial|   4|    100000|     100|0.43817401|  PASSED  
          sts_serial|   4|    100000|     100|0.79653620|  PASSED  
          sts_serial|   5|    100000|     100|0.50619420|  PASSED  
          sts_serial|   5|    100000|     100|0.97505292|  PASSED  
          sts_serial|   6|    100000|     100|0.15472854|  PASSED  
          sts_serial|   6|    100000|     100|0.41830635|  PASSED  
          sts_serial|   7|    100000|     100|0.86300435|  PASSED  
          sts_serial|   7|    100000|     100|0.96345757|  PASSED  
          sts_serial|   8|    100000|     100|0.68141716|  PASSED  
          sts_serial|   8|    100000|     100|0.68456181|  PASSED  
          sts_serial|   9|    100000|     100|0.27025605|  PASSED  
          sts_serial|   9|    100000|     100|0.14160514|  PASSED  
          sts_serial|  10|    100000|     100|0.19069206|  PASSED  
          sts_serial|  10|    100000|     100|0.87074380|  PASSED  
          sts_serial|  11|    100000|     100|0.87580776|  PASSED  
          sts_serial|  11|    100000|     100|0.06451873|  PASSED  
          sts_serial|  12|    100000|     100|0.86357174|  PASSED  
          sts_serial|  12|    100000|     100|0.57916977|  PASSED  
