#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                           x.out|  5.07e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88520965|  PASSED  
# The file file_input_raw was rewound 1 times
      diehard_operm5|   0|   1000000|     100|0.48763520|  PASSED  
# The file file_input_raw was rewound 3 times
  diehard_rank_32x32|   0|     40000|     100|0.90147810|  PASSED  
# The file file_input_raw was rewound 4 times
    diehard_rank_6x8|   0|    100000|     100|0.38077980|  PASSED  
# The file file_input_raw was rewound 4 times
   diehard_bitstream|   0|   2097152|     100|0.70383777|  PASSED  
# The file file_input_raw was rewound 8 times
        diehard_opso|   0|   2097152|     100|0.00094356|   WEAK   
# The file file_input_raw was rewound 10 times
        diehard_oqso|   0|   2097152|     100|0.48095384|  PASSED  
# The file file_input_raw was rewound 11 times
         diehard_dna|   0|   2097152|     100|0.33570223|  PASSED  
# The file file_input_raw was rewound 11 times
diehard_count_1s_str|   0|    256000|     100|0.05945977|  PASSED  
# The file file_input_raw was rewound 13 times
diehard_count_1s_byt|   0|    256000|     100|0.08484375|  PASSED  
# The file file_input_raw was rewound 13 times
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
# The file file_input_raw was rewound 13 times
    diehard_2dsphere|   2|      8000|     100|0.37428423|  PASSED  
# The file file_input_raw was rewound 13 times
    diehard_3dsphere|   3|      4000|     100|0.25881637|  PASSED  
# The file file_input_raw was rewound 16 times
     diehard_squeeze|   0|    100000|     100|0.07247147|  PASSED  
# The file file_input_raw was rewound 16 times
        diehard_sums|   0|       100|     100|0.17972864|  PASSED  
# The file file_input_raw was rewound 16 times
        diehard_runs|   0|    100000|     100|0.70389937|  PASSED  
        diehard_runs|   0|    100000|     100|0.44159379|  PASSED  
# The file file_input_raw was rewound 18 times
       diehard_craps|   0|    200000|     100|0.29544790|  PASSED  
       diehard_craps|   0|    200000|     100|0.94726889|  PASSED  
# The file file_input_raw was rewound 48 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05367242|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000164|   WEAK   
# The file file_input_raw was rewound 48 times
         sts_monobit|   1|    100000|     100|0.52315463|  PASSED  
# The file file_input_raw was rewound 48 times
            sts_runs|   2|    100000|     100|0.63504400|  PASSED  
# The file file_input_raw was rewound 49 times
          sts_serial|   1|    100000|     100|0.65973052|  PASSED  
          sts_serial|   2|    100000|     100|0.05040778|  PASSED  
          sts_serial|   3|    100000|     100|0.65304024|  PASSED  
          sts_serial|   3|    100000|     100|0.07214627|  PASSED  
          sts_serial|   4|    100000|     100|0.72330484|  PASSED  
          sts_serial|   4|    100000|     100|0.32423752|  PASSED  
          sts_serial|   5|    100000|     100|0.20946947|  PASSED  
          sts_serial|   5|    100000|     100|0.95024217|  PASSED  
          sts_serial|   6|    100000|     100|0.97386249|  PASSED  
          sts_serial|   6|    100000|     100|0.14359786|  PASSED  
          sts_serial|   7|    100000|     100|0.77121754|  PASSED  
          sts_serial|   7|    100000|     100|0.94567249|  PASSED  
          sts_serial|   8|    100000|     100|0.97616353|  PASSED  
          sts_serial|   8|    100000|     100|0.75414121|  PASSED  
          sts_serial|   9|    100000|     100|0.85580887|  PASSED  
          sts_serial|   9|    100000|     100|0.59067925|  PASSED  
          sts_serial|  10|    100000|     100|0.78442184|  PASSED  
          sts_serial|  10|    100000|     100|0.54190038|  PASSED  
          sts_serial|  11|    100000|     100|0.37640313|  PASSED  
          sts_serial|  11|    100000|     100|0.33436954|  PASSED  
          sts_serial|  12|    100000|     100|0.25609256|  PASSED  
          sts_serial|  12|    100000|     100|0.81662549|  PASSED  
          sts_serial|  13|    100000|     100|0.42256276|  PASSED  
          sts_serial|  13|    100000|     100|0.35818435|  PASSED  
          sts_serial|  14|    100000|     100|0.33508815|  PASSED  
          sts_serial|  14|    100000|     100|0.84617146|  PASSED  
          sts_serial|  15|    100000|     100|0.18879307|  PASSED  
          sts_serial|  15|    100000|     100|0.43612256|  PASSED  
          sts_serial|  16|    100000|     100|0.54182757|  PASSED  
          sts_serial|  16|    100000|     100|0.44496885|  PASSED  
# The file file_input_raw was rewound 49 times
         rgb_bitdist|   1|    100000|     100|0.15893745|  PASSED  
# The file file_input_raw was rewound 49 times
         rgb_bitdist|   2|    100000|     100|0.18015845|  PASSED  
# The file file_input_raw was rewound 50 times
         rgb_bitdist|   3|    100000|     100|0.65659084|  PASSED  
# The file file_input_raw was rewound 51 times
         rgb_bitdist|   4|    100000|     100|0.54945794|  PASSED  
# The file file_input_raw was rewound 53 times
         rgb_bitdist|   5|    100000|     100|0.61167261|  PASSED  
# The file file_input_raw was rewound 55 times
         rgb_bitdist|   6|    100000|     100|0.75495047|  PASSED  
# The file file_input_raw was rewound 57 times
         rgb_bitdist|   7|    100000|     100|0.69057315|  PASSED  
# The file file_input_raw was rewound 59 times
         rgb_bitdist|   8|    100000|     100|0.27840695|  PASSED  
# The file file_input_raw was rewound 62 times
