Bytes: 1049999851 
TOTAL 115
PASSED = 113
WEAK = 2
FAILED = 0

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  r181.split.out|  4.75e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.92723929|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.47760232|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.03910271|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.94121630|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.44695602|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.43179769|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.41859610|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.17040425|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.82902815|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.71179584|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.99690014|   WEAK   
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.93277148|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.45783669|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.26785435|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.05890031|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.19139022|  PASSED  
        diehard_runs|   0|    100000|     100|0.07485795|  PASSED  
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.05325070|  PASSED  
       diehard_craps|   0|    200000|     100|0.56034223|  PASSED  
# The file file_input_raw was rewound 12 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.21589144|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00031067|   WEAK   
# The file file_input_raw was rewound 12 times
         sts_monobit|   1|    100000|     100|0.87082252|  PASSED  
# The file file_input_raw was rewound 12 times
            sts_runs|   2|    100000|     100|0.41938494|  PASSED  
# The file file_input_raw was rewound 12 times
          sts_serial|   1|    100000|     100|0.06958963|  PASSED  
          sts_serial|   2|    100000|     100|0.90725113|  PASSED  
          sts_serial|   3|    100000|     100|0.03570966|  PASSED  
          sts_serial|   3|    100000|     100|0.06106414|  PASSED  
          sts_serial|   4|    100000|     100|0.39969465|  PASSED  
          sts_serial|   4|    100000|     100|0.47186399|  PASSED  
          sts_serial|   5|    100000|     100|0.12683975|  PASSED  
          sts_serial|   5|    100000|     100|0.73210329|  PASSED  
          sts_serial|   6|    100000|     100|0.22638112|  PASSED  
          sts_serial|   6|    100000|     100|0.25446505|  PASSED  
          sts_serial|   7|    100000|     100|0.03417102|  PASSED  
          sts_serial|   7|    100000|     100|0.26537917|  PASSED  
          sts_serial|   8|    100000|     100|0.06080285|  PASSED  
          sts_serial|   8|    100000|     100|0.41022724|  PASSED  
          sts_serial|   9|    100000|     100|0.88276306|  PASSED  
          sts_serial|   9|    100000|     100|0.19466985|  PASSED  
          sts_serial|  10|    100000|     100|0.15659617|  PASSED  
          sts_serial|  10|    100000|     100|0.29321215|  PASSED  
          sts_serial|  11|    100000|     100|0.96555231|  PASSED  
          sts_serial|  11|    100000|     100|0.40227992|  PASSED  
          sts_serial|  12|    100000|     100|0.68199951|  PASSED  
          sts_serial|  12|    100000|     100|0.58583093|  PASSED  
